DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
139,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
140,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
141,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
142,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
143,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
144,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
145,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
146,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
147,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
148,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
149,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
150,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
151,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
152,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
153,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
154,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
155,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
156,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
157,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
158,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
159,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
